sym,universe,interval,range,rule,bars,n,winrate,avg_ret,sum_ret,PF,maxDD,wf_flag,wf1_n,wf1_avg,wf1_PF,wf2_n,wf2_avg,wf2_PF,score,is_control
QQQ,liquid,1h,3mo,L_RSI50,449,0,0.0,0.0,0.0,0.0,0.0,NO_TRADES,0,0.0,0.0,0,0.0,0.0,-999.0,0
QQQ,liquid,1h,3mo,L_EMA_RECLAIM,449,0,0.0,0.0,0.0,0.0,0.0,NO_TRADES,0,0.0,0.0,0,0.0,0.0,-999.0,0
QQQ,liquid,1h,3mo,L_VWAP_RECLAIM,449,1,0.0,-0.2702,-0.2702,0.0,0.2702,WEAK_BOTH,0,0.0,0.0,1,-0.2702,0.0,-999.0,0
QQQ,liquid,1h,3mo,B_SUPERTREND,449,2,50.0,1.1587,2.3174,9.576,0.2702,WEAK_BOTH,1,2.5876,99.0,1,-0.2702,0.0,-999.0,0
QQQ,liquid,1h,3mo,HYBRID,449,0,0.0,0.0,0.0,0.0,0.0,NO_TRADES,0,0.0,0.0,0,0.0,0.0,-999.0,0
RKLB,book,1d,1y,L_RSI50,251,2,0.0,-10.2833,-20.5665,0.0,20.5665,WEAK_BOTH,0,0.0,0.0,2,-10.2833,0.0,-999.0,0
RKLB,book,1d,1y,L_EMA_RECLAIM,251,3,66.67,3.6608,10.9824,2.168,9.4015,FIRST_ONLY,2,4.9267,2.048,1,1.1291,99.0,-999.0,0
RKLB,book,1d,1y,L_VWAP_RECLAIM,251,4,50.0,-0.4289,-1.7155,0.906,18.2915,WEAK_BOTH,1,15.4469,99.0,3,-5.7208,0.062,-999.0,0
RKLB,book,1d,1y,B_SUPERTREND,251,5,40.0,-1.0769,-5.3846,0.723,9.9378,FIRST_ONLY,2,0.6147,1.124,3,-2.2047,0.303,-999.0,0
RKLB,book,1d,1y,B_DONCHIAN_D,251,12,16.67,-2.1458,-25.7493,0.392,41.208,FIRST_ONLY,6,0.3983,1.183,6,-4.6898,0.039,-999.0,0
RKLB,book,1d,1y,HYBRID,251,1,100.0,1.1291,1.1291,99.0,0.0,WEAK_BOTH,0,0.0,0.0,1,1.1291,99.0,-999.0,0
RKLB,book,1h,3mo,L_RSI50,449,2,0.0,-2.4051,-4.8102,0.0,4.8102,WEAK_BOTH,0,0.0,0.0,2,-2.4051,0.0,-999.0,0
RKLB,book,1h,3mo,L_EMA_RECLAIM,449,4,25.0,-1.4406,-5.7624,0.269,5.7624,WEAK_BOTH,1,-3.0748,0.0,3,-0.8959,0.441,-999.0,0
RKLB,book,1h,3mo,L_VWAP_RECLAIM,449,8,37.5,-0.6818,-5.4542,0.481,6.5355,WEAK_BOTH,2,-0.9543,0.362,6,-0.5909,0.528,-999.0,0
